name_index,semester1,semester2,semester3,semester4,semester5,semester6,semester7,semester8,semester1_result,semester2_result,semester3_result,semester4_result,semester5_result,semester6_result,semester7_result,semester8_result,isBackLogPresent1,isBackLogPresent2,isBackLogPresent3,isBackLogPresent4,isBackLogPresent5,isBackLogPresent6,isBackLogPresent7,isBackLogPresent8,overall_result
58,517,507,733,711,627,563,472,646,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
59,388,328,388,371,368,358,654,718,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
60,484,368,490,455,452,423,569,803,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
61,575,470,580,579,559,598,519,616,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0
62,567,531,718,663,706,566,484,503,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
63,574,450,554,505,468,492,521,562,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
64,511,412,476,442,417,433,628,808,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
65,519,460,559,518,500,496,638,688,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
66,517,472,615,547,513,514,480,425,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
67,350,318,580,626,416,449,562,659,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
68,655,690,722,738,762,731,477,556,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
69,489,499,579,580,583,577,460,496,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
70,588,573,634,613,607,598,531,566,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
71,561,505,655,637,616,639,496,570,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
72,495,447,588,539,455,574,512,518,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
73,504,494,643,631,638,613,498,577,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
74,620,530,690,700,701,708,452,580,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
75,557,501,602,547,534,506,541,752,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
76,602,594,658,688,678,727,532,627,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
77,453,480,476,361,439,425,450,492,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
78,536,393,524,438,429,374,499,577,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
79,613,525,555,586,557,510,472,593,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
80,543,668,809,843,818,803,591,640,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
81,487,628,759,825,765,808,412,433,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
82,517,360,448,401,403,417,360,417,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
83,607,605,780,792,768,668,505,639,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
84,611,388,492,462,479,460,561,741,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0
85,458,622,621,587,580,613,512,689,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
86,383,505,577,618,603,578,537,431,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0
87,538,593,696,700,645,663,403,528,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1
88,563,388,537,477,504,451,388,451,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
89,595,502,583,597,572,628,669,750,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
90,596,627,801,757,730,803,318,355,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
